Pallet: "treasury", Extrinsic: "extend_bounty_expiry", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
820,26318,2203,1,5,1,2
820,26204,2210,1,5,1,2
820,26448,2237,1,5,1,2
820,26622,2301,1,5,1,2
820,26482,2219,1,5,1,2
820,26539,2177,1,5,1,2
820,26137,2283,1,5,1,2
820,26322,2215,1,5,1,2
820,26209,2248,1,5,1,2
820,26543,2176,1,5,1,2
820,26285,2166,1,5,1,2
820,26769,2160,1,5,1,2
820,26450,2230,1,5,1,2
820,26508,2250,1,5,1,2
840,26626,2131,1,5,1,2
840,26422,2183,1,5,1,2
840,26605,2187,1,5,1,2
840,26391,2188,1,5,1,2
840,26229,2144,1,5,1,2
840,26225,2162,1,5,1,2
840,26864,2146,1,5,1,2
840,26416,2121,1,5,1,2
840,26072,2181,1,5,1,2
840,26699,2129,1,5,1,2
840,26438,2129,1,5,1,2
840,26319,2153,1,5,1,2
840,26443,2168,1,5,1,2
840,26225,2065,1,5,1,2
840,26681,2210,1,5,1,2
840,26432,2206,1,5,1,2
840,26626,2186,1,5,1,2
840,26614,2164,1,5,1,2
840,26768,2128,1,5,1,2
840,26583,2175,1,5,1,2
860,26783,2199,1,5,1,2
860,26633,2101,1,5,1,2
860,26469,2101,1,5,1,2
860,26540,2182,1,5,1,2
860,26481,2131,1,5,1,2
860,26693,2244,1,5,1,2
860,26594,2211,1,5,1,2
860,26574,2099,1,5,1,2
860,26530,2127,1,5,1,2
860,26683,2097,1,5,1,2
860,26399,2156,1,5,1,2
860,26498,2267,1,5,1,2
860,26983,2176,1,5,1,2
860,26770,2248,1,5,1,2
860,26616,2193,1,5,1,2
860,26579,2158,1,5,1,2
860,26289,2179,1,5,1,2
860,26478,2146,1,5,1,2
860,26524,2217,1,5,1,2
860,26426,2268,1,5,1,2
880,27000,2195,1,5,1,2
880,26955,2141,1,5,1,2
880,26446,2205,1,5,1,2
880,26659,2201,1,5,1,2
880,26136,2144,1,5,1,2
880,26810,2109,1,5,1,2
880,26569,2158,1,5,1,2
880,26912,2184,1,5,1,2
880,26156,2067,1,5,1,2
880,26277,2129,1,5,1,2
880,26280,2244,1,5,1,2
880,26549,2286,1,5,1,2
880,26435,2131,1,5,1,2
880,26435,2181,1,5,1,2
880,26138,2131,1,5,1,2
880,26111,2202,1,5,1,2
880,26501,2124,1,5,1,2
880,26201,2155,1,5,1,2
880,26869,2172,1,5,1,2
880,26494,2031,1,5,1,2
900,25964,2136,1,5,1,2
900,26037,2094,1,5,1,2
900,25959,2159,1,5,1,2
900,26351,2122,1,5,1,2
900,25782,2061,1,5,1,2
900,26099,2113,1,5,1,2
900,25884,2079,1,5,1,2
900,26235,2178,1,5,1,2
900,26254,2218,1,5,1,2
900,26217,2181,1,5,1,2
900,26037,2159,1,5,1,2
900,26082,2159,1,5,1,2
900,26065,2181,1,5,1,2
900,26212,2129,1,5,1,2
900,26153,2168,1,5,1,2
900,26032,2161,1,5,1,2
900,26451,2070,1,5,1,2
900,25952,2174,1,5,1,2
900,26363,2112,1,5,1,2
900,25987,2073,1,5,1,2
920,26423,2168,1,5,1,2
920,26377,2133,1,5,1,2
920,26503,2156,1,5,1,2
920,26092,2163,1,5,1,2
920,26637,2210,1,5,1,2
920,26642,2110,1,5,1,2
920,26336,2082,1,5,1,2
920,26413,2084,1,5,1,2
920,26428,2123,1,5,1,2
920,26453,2112,1,5,1,2
920,26536,2124,1,5,1,2
920,26511,2095,1,5,1,2
920,26607,2092,1,5,1,2
920,26707,2164,1,5,1,2
920,26302,2192,1,5,1,2
920,26399,2216,1,5,1,2
920,26538,2137,1,5,1,2
920,26158,2141,1,5,1,2
920,26279,2131,1,5,1,2
920,26616,2155,1,5,1,2
940,26158,2192,1,5,1,2
940,26237,2136,1,5,1,2
940,26717,2124,1,5,1,2
940,26370,2130,1,5,1,2
940,26471,2187,1,5,1,2
940,26188,2151,1,5,1,2
940,26388,2133,1,5,1,2
940,26449,2161,1,5,1,2
940,26220,2085,1,5,1,2
940,26348,2140,1,5,1,2
940,26218,2119,1,5,1,2
940,26264,2161,1,5,1,2
940,26321,2133,1,5,1,2
940,26341,2142,1,5,1,2
940,25635,2139,1,5,1,2
940,26272,2072,1,5,1,2
940,26338,2035,1,5,1,2
940,26461,2074,1,5,1,2
940,26452,2152,1,5,1,2
940,26264,2130,1,5,1,2
960,26602,2148,1,5,1,2
960,26421,2180,1,5,1,2
960,26495,2174,1,5,1,2
960,26356,2118,1,5,1,2
960,27184,2228,1,5,1,2
960,26735,2083,1,5,1,2
960,26473,2118,1,5,1,2
960,26528,2213,1,5,1,2
960,26679,2182,1,5,1,2
960,26640,2166,1,5,1,2
960,26608,2189,1,5,1,2
960,26392,2149,1,5,1,2
960,26295,2110,1,5,1,2
960,26556,2059,1,5,1,2
960,26521,2106,1,5,1,2
960,26407,2102,1,5,1,2
960,26341,2137,1,5,1,2
960,27239,2165,1,5,1,2
960,26384,2168,1,5,1,2
960,26301,2170,1,5,1,2
980,26093,2093,1,5,1,2
980,26144,2137,1,5,1,2
980,26093,2141,1,5,1,2
980,25852,2149,1,5,1,2
980,26290,2141,1,5,1,2
980,26100,2199,1,5,1,2
980,26068,2143,1,5,1,2
980,25716,2195,1,5,1,2
980,26116,2277,1,5,1,2
980,26003,2096,1,5,1,2
980,26105,2183,1,5,1,2
980,26296,2238,1,5,1,2
980,26271,2121,1,5,1,2
980,26341,2118,1,5,1,2
980,26050,2165,1,5,1,2
980,26256,2127,1,5,1,2
980,26225,2087,1,5,1,2
980,26102,2130,1,5,1,2
980,26125,2171,1,5,1,2
980,26123,2268,1,5,1,2
1000,26796,2197,1,5,1,2
1000,27128,2254,1,5,1,2
1000,26859,2188,1,5,1,2
1000,26873,2237,1,5,1,2
1000,26654,2150,1,5,1,2
1000,26901,2138,1,5,1,2
1000,26687,2093,1,5,1,2
1000,26440,2206,1,5,1,2
1000,26585,2208,1,5,1,2
1000,26622,2196,1,5,1,2
1000,26419,2148,1,5,1,2
1000,26318,2181,1,5,1,2
1000,26938,2119,1,5,1,2
1000,26595,2139,1,5,1,2
1000,26745,2230,1,5,1,2
1000,26281,2201,1,5,1,2
1000,26725,2120,1,5,1,2
1000,26663,2120,1,5,1,2
1000,26535,2212,1,5,1,2
1000,26914,2164,1,5,1,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    26.41
    + u        0
              µs

Reads = 1 + (0 * u)
Writes = 1 + (0 * u)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    u   mean µs  sigma µs       %
    0     26.38     0.102    0.3%
   20     25.92     0.055    0.2%
   40     26.58     0.083    0.3%
   60     26.44     0.069    0.2%
   80     26.41     0.108    0.4%
  100     26.33     0.074    0.2%
  120     26.54     0.119    0.4%
  140      26.3     0.054    0.2%
  160     26.47     0.048    0.1%
  180     26.24     0.084    0.3%
  200     26.38      0.12    0.4%
  220     26.29     0.047    0.1%
  240     26.29     0.111    0.4%
  260      26.5     0.059    0.2%
  280     26.56     0.062    0.2%
  300     26.27     0.108    0.4%
  320     26.51     0.091    0.3%
  340     26.38     0.068    0.2%
  360      26.4     0.042    0.1%
  380     26.58     0.099    0.3%
  400     26.62     0.154    0.5%
  420      26.5     0.079    0.2%
  440     26.65     0.052    0.1%
  460     26.32     0.072    0.2%
  480     26.52      0.16    0.6%
  500      26.6     0.078    0.2%
  520     26.53     0.085    0.3%
  540     26.42     0.043    0.1%
  560     26.46     0.105    0.3%
  580     26.33     0.054    0.2%
  600     26.42     0.067    0.2%
  620     26.63     0.095    0.3%
  640     26.38     0.067    0.2%
  660     26.49     0.082    0.3%
  680      26.3     0.074    0.2%
  700     26.39     0.058    0.2%
  720     26.58     0.133    0.5%
  740     26.18     0.087    0.3%
  760     26.41     0.082    0.3%
  780     26.45     0.094    0.3%
  800     26.21     0.055    0.2%
  820     26.43      0.07    0.2%
  840     26.49     0.091    0.3%
  860     26.55     0.047    0.1%
  880     26.46     0.113    0.4%
  900     26.09     0.074    0.2%
  920     26.45     0.056    0.2%
  940     26.31     0.048    0.1%
  960      26.5     0.073    0.2%
  980     26.12     0.037    0.1%
 1000     26.69     0.084    0.3%

Quality and confidence:
param     error
u             0

Model:
Time ~=     26.4
    + u        0
              µs

Reads = 1 + (0 * u)
Writes = 1 + (0 * u)
