2020-04-20 18:23:25.621 main TRACE benchmark  Start Benchmark: p 1
2020-04-20 18:23:25.621 main TRACE state-trace  1b0f: Get 2aeddc77fe58c98d50bd37f1b90840f9cd7f37317cd20b61e9bd46fab8704714d80cc2f8e3e8b36623b45bed5f3f075645b60f35d7cfe11fff0f881086aa81d2763b14ff536b97c2=Some(000020f84dde700400000000000000000004210000000000000000000000000000000000000000000000000000000000000000210000000000000000000000000000000000000000000000000000000000000000210000000000000000000000000000000000000000000000000000000000000000210000000000000000000000000000000000000000000000000000000000000000210000000000000000000000000000000000000000000000000000000000000000210000000000000000000000000000000000000000000000000000000000000000210000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000210000000000000000000000000000000000000000000000000000000000000000210000000000000000000000000000000000000000000000000000000000000000)
2020-04-20 18:23:25.621 main TRACE state-trace  1b0f: Get 2aeddc77fe58c98d50bd37f1b90840f96ee5a0b09e7e9a96219dd66f0f74c37ed80cc2f8e3e8b36623b45bed5f3f075645b60f35d7cfe11fff0f881086aa81d2763b14ff536b97c2=Some(0080f420e6b50000000000000000000004ae97b7ebbea69df0af0095e793b922233fb65f596a43c22cf619fff3a7c194da)
2020-04-20 18:23:25.621 main TRACE state-trace  1b0f: Get 26aa394eea5630e07c48ae0c9558cef7b99d880ec681799c0cf30e8886371da99c668cfd357f6d2a88dcb2ef0610030323b45bed5f3f075645b60f35d7cfe11fff0f881086aa81d2763b14ff536b97c2=Some(0000000000ffffffffffffffffffffffffffffffff00a0ec6ec426050000000000000000000000000000000000000000000000000000000000000000000000000000000000)
2020-04-20 18:23:25.621 main TRACE state-trace  1b0f: Get 26aa394eea5630e07c48ae0c9558cef7b99d880ec681799c0cf30e8886371da99c668cfd357f6d2a88dcb2ef0610030323b45bed5f3f075645b60f35d7cfe11fff0f881086aa81d2763b14ff536b97c2=Some(0000000000ffffffffffffffffffffffffffffffff00a0ec6ec426050000000000000000000000000000000000000000000000000000000000000000000000000000000000)
2020-04-20 18:23:25.621 main TRACE state-trace  1b0f: Put 26aa394eea5630e07c48ae0c9558cef7b99d880ec681799c0cf30e8886371da99c668cfd357f6d2a88dcb2ef0610030323b45bed5f3f075645b60f35d7cfe11fff0f881086aa81d2763b14ff536b97c2=Some(0000000000ff7f724101a8b9ffffffffffffffffff00207a2dc37e4b0000000000000000000000000000000000000000000000000000000000000000000000000000000000)
2020-04-20 18:23:25.621 main TRACE state-trace  1b0f: Put 2aeddc77fe58c98d50bd37f1b90840f943a953ac082e08b6527ce262dbd4abf235c66be4eec1822b4f1b4a3c30e6fa1eae97b7ebbea69df0af0095e793b922233fb65f596a43c22cf619fff3a7c194da=None
2020-04-20 18:23:25.621 main TRACE state-trace  1b0f: Put 2aeddc77fe58c98d50bd37f1b90840f943a953ac082e08b6527ce262dbd4abf235c66be4eec1822b4f1b4a3c30e6fa1eae97b7ebbea69df0af0095e793b922233fb65f596a43c22cf619fff3a7c194da=Some(23b45bed5f3f075645b60f35d7cfe11fff0f881086aa81d2763b14ff536b97c2210000000000000000000000000000000000000000000000000000000000000000)
2020-04-20 18:23:25.621 main TRACE state-trace  1b0f: Put 2aeddc77fe58c98d50bd37f1b90840f943a953ac082e08b6527ce262dbd4abf297b777dab4af315549d66883820d5fcde5a227406a708abc1c83ceefad25b2e6f7a4bf18fde54cdbf485709d020e799f=Some(23b45bed5f3f075645b60f35d7cfe11fff0f881086aa81d2763b14ff536b97c2210000000000000000000000000000000000000000000000000000000000000000)
2020-04-20 18:23:25.621 main TRACE state-trace  1b0f: Put 2aeddc77fe58c98d50bd37f1b90840f943a953ac082e08b6527ce262dbd4abf2d4966cd97a9f44817d82caaef9cba300750d88c3cdb3ce8960fb668661f7922ae942320e16642e55cb8b5c2e978f986e=Some(23b45bed5f3f075645b60f35d7cfe11fff0f881086aa81d2763b14ff536b97c2210000000000000000000000000000000000000000000000000000000000000000)
2020-04-20 18:23:25.621 main TRACE state-trace  1b0f: Put 2aeddc77fe58c98d50bd37f1b90840f943a953ac082e08b6527ce262dbd4abf2480fc11a7640e2ea0400a9747bcd67dcc66047f6df1d62b49ab9f48fae9abf794e6700b31036f4c4f9a9dc252bd954c9=Some(23b45bed5f3f075645b60f35d7cfe11fff0f881086aa81d2763b14ff536b97c2210000000000000000000000000000000000000000000000000000000000000000)
